id,left,top,right,bottom,row_index,col_index,id_2,left_2,top_2,right_2,bottom_2,row_index_2,col_index_2,Temp_19
1398,103.237428369623970,4.681694625000000,103.375992434229488,4.561694625000000,17,30,"2220",103.340656916,4.660572625,103.430126916,4.570958625,"23","36",27.8249109565312
1398,103.237428369623970,4.681694625000000,103.375992434229488,4.561694625000000,17,30,"2221",103.340656916,4.570958625,103.430126916,4.481344625,"24","36",27.8174173562479
1399,103.237428369623970,4.561694625000000,103.375992434229488,4.441694625000000,18,30,"2161",103.251186916,4.481344625,103.340656916,4.391730625,"25","35",27.8225281679601
1399,103.237428369623970,4.561694625000000,103.375992434229488,4.441694625000000,18,30,"2222",103.340656916,4.481344625,103.430126916,4.391730625,"25","36",27.8139477742793
1400,103.237428369623970,4.441694625000000,103.375992434229488,4.321694624999999,19,30,"2162",103.251186916,4.391730625,103.340656916,4.302116625,"26","35",27.8209002875069
1400,103.237428369623970,4.441694625000000,103.375992434229488,4.321694624999999,19,30,"2223",103.340656916,4.391730625,103.430126916,4.302116625,"26","36",27.8129449556824
1401,103.237428369623970,4.321694624999999,103.375992434229488,4.201694625000000,20,30,"2224",103.340656916,4.302116625,103.430126916,4.212502625,"27","36",27.812976341383
1401,103.237428369623970,4.321694624999999,103.375992434229488,4.201694625000000,20,30,"2225",103.340656916,4.212502625,103.430126916,4.122888625,"28","36",27.8157169916593
1402,103.237428369623970,4.201694625000000,103.375992434229488,4.081694625000000,21,30,"2165",103.251186916,4.122888625,103.340656916,4.033274625,"29","35",27.8315494622372
1402,103.237428369623970,4.201694625000000,103.375992434229488,4.081694625000000,21,30,"2226",103.340656916,4.122888625,103.430126916,4.033274625,"29","36",27.8182707042316
1403,103.237428369623970,4.081694625000000,103.375992434229488,3.961694625000000,22,30,"2166",103.251186916,4.033274625,103.340656916,3.943660625,"30","35",27.8344470536719
1403,103.237428369623970,4.081694625000000,103.375992434229488,3.961694625000000,22,30,"2227",103.340656916,4.033274625,103.430126916,3.943660625,"30","36",27.8195737567489
1404,103.237428369623970,3.961694625000000,103.375992434229488,3.841694625000000,23,30,"2228",103.340656916,3.943660625,103.430126916,3.854046625,"31","36",27.8260828110164
1404,103.237428369623970,3.961694625000000,103.375992434229488,3.841694625000000,23,30,"2229",103.340656916,3.854046625,103.430126916,3.764432625,"32","36",27.8375145239551
1405,103.237428369623970,3.841694625000000,103.375992434229488,3.721694625000000,24,30,"2169",103.251186916,3.764432625,103.340656916,3.674818625,"33","35",27.8390957126662
1405,103.237428369623970,3.841694625000000,103.375992434229488,3.721694625000000,24,30,"2230",103.340656916,3.764432625,103.430126916,3.674818625,"33","36",27.8492889537867
1406,103.237428369623970,3.721694625000000,103.375992434229488,3.601694624999999,25,30,"2170",103.251186916,3.674818625,103.340656916,3.585204625,"34","35",27.8388101541172
1406,103.237428369623970,3.721694625000000,103.375992434229488,3.601694624999999,25,30,"2231",103.340656916,3.674818625,103.430126916,3.585204625,"34","36",27.855709649376
1407,103.237428369623970,3.601694624999999,103.375992434229488,3.481694625000000,26,30,"2232",103.340656916,3.585204625,103.430126916,3.495590625,"35","36",27.8587389455547
1407,103.237428369623970,3.601694624999999,103.375992434229488,3.481694625000000,26,30,"2233",103.340656916,3.495590625,103.430126916,3.405976625,"36","36",27.8593681630124
1408,103.237428369623970,3.481694625000000,103.375992434229488,3.361694625000000,27,30,"2173",103.251186916,3.405976625,103.340656916,3.316362625,"37","35",27.8433708858183
1408,103.237428369623970,3.481694625000000,103.375992434229488,3.361694625000000,27,30,"2234",103.340656916,3.405976625,103.430126916,3.316362625,"37","36",27.8578677463031
1409,103.237428369623970,3.361694625000000,103.375992434229488,3.241694625000000,28,30,"2174",103.251186916,3.316362625,103.340656916,3.226748625,"38","35",27.8523289557208
1409,103.237428369623970,3.361694625000000,103.375992434229488,3.241694625000000,28,30,"2235",103.340656916,3.316362625,103.430126916,3.226748625,"38","36",27.8577736106979
1410,103.237428369623970,3.241694625000000,103.375992434229488,3.121694625000000,29,30,"2236",103.340656916,3.226748625,103.430126916,3.137134625,"39","36",27.8595033010655
1410,103.237428369623970,3.241694625000000,103.375992434229488,3.121694625000000,29,30,"2237",103.340656916,3.137134625,103.430126916,3.047520625,"40","36",27.8617249165281
1411,103.237428369623970,3.121694625000000,103.375992434229488,3.001694625000000,30,30,"2177",103.251186916,3.047520625,103.340656916,2.957906625,"41","35",27.892547317787
1411,103.237428369623970,3.121694625000000,103.375992434229488,3.001694625000000,30,30,"2238",103.340656916,3.047520625,103.430126916,2.957906625,"41","36",27.8611442112262
1412,103.237428369623970,3.001694625000000,103.375992434229488,2.881694625000000,31,30,"2178",103.251186916,2.957906625,103.340656916,2.868292625,"42","35",27.8954732781633
1412,103.237428369623970,3.001694625000000,103.375992434229488,2.881694625000000,31,30,"2239",103.340656916,2.957906625,103.430126916,2.868292625,"42","36",27.8566347122002
1413,103.237428369623970,2.881694625000000,103.375992434229488,2.761694625000000,32,30,"2240",103.340656916,2.868292625,103.430126916,2.778678625,"43","36",27.8520794880055
1413,103.237428369623970,2.881694625000000,103.375992434229488,2.761694625000000,32,30,"2241",103.340656916,2.778678625,103.430126916,2.689064625,"44","36",27.8478159650317
1414,103.237428369623970,2.761694625000000,103.375992434229488,2.641694625000000,33,30,"2181",103.251186916,2.689064625,103.340656916,2.599450625,"45","35",27.8587190153898
